username,total,easy,medium,hard,rating,C++,Java,Python,Python3,C,C#,JavaScript,TypeScript,PHP,Swift,Kotlin,Dart,Go,Ruby,Scala,Rust,Racket,Erlang,Elixir,MySQL,MS SQL Server,Oracle,Pandas,PostgreSQL,ranking,Array,String,Hash Table,Math,Dynamic Programming,Sorting,Greedy,Depth-First Search,Binary Search,Database,Breadth-First Search,Tree,Matrix,Two Pointers,Bit Manipulation,Binary Tree,Heap (Priority Queue),Stack,Prefix Sum,Simulation,Graph,Design,Counting,Sliding Window,Backtracking,Union Find,Enumeration,Linked List,Ordered Set,Monotonic Stack,Trie,Number Theory,Divide and Conquer,Recursion,Bitmask,Queue,Binary Search Tree,Segment Tree,Memoization,Hash Function,Geometry,Binary Indexed Tree,Topological Sort,String Matching,Combinatorics,Rolling Hash,Shortest Path,Game Theory,Data Stream,Interactive,Brainteaser,Monotonic Queue,Randomized,Merge Sort,Iterator,Concurrency,Doubly-Linked List,Probability and Statistics,Quickselect,Bucket Sort,Suffix Array,Minimum Spanning Tree,Counting Sort,Shell,Line Sweep,Reservoir Sampling,Strongly Connected Component,Eulerian Circuit,Radix Sort,Rejection Sampling,Biconnected Component,contestAttended,streak,totalActiveDays,contest_LastYear,contest_6months,contest_1month,last1monthActiveDays,last6monthActiveDays,OurRating
HarshTekriwal,634,172,380,82,1390.828,7,625,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448546,335,138,130,81,119,86,53,106,61,0,85,89,51,65,34,83,0,53,0,17,27,37,0,30,27,18,2,38,7,19,15,0,22,19,3,13,0,1,0,0,0,1,5,0,0,3,4,3,7,0,5,4,6,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,67
harsh-98,213,46,138,29,1543.078,107,1,0,47,0,0,0,0,0,0,0,0,80,0,0,23,0,0,0,0,0,0,0,0,161625,108,42,35,30,48,24,18,34,15,0,29,27,17,16,13,26,0,15,0,9,12,5,0,8,15,7,3,12,1,3,5,0,15,8,0,3,0,3,0,0,0,3,4,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,59
harshshah949494,182,73,99,10,1448.482,0,160,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,319931,75,49,40,24,21,17,8,29,15,2,21,30,5,28,12,29,0,12,0,5,2,11,0,5,8,2,1,20,2,2,3,0,8,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48
Harsh23Kashyap,1238,460,624,154,1692.626,1205,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,66288,673,298,247,184,187,179,138,139,104,26,108,116,93,101,74,101,0,63,0,76,50,46,0,43,46,34,19,50,17,21,19,0,26,27,8,16,0,10,0,0,0,9,12,0,0,5,5,8,7,0,5,5,4,0,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,13,97,333,0,0,0,29,149,82
harsh_0412,1100,244,648,208,1899.974,1061,1,2,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,22488,608,242,202,159,250,144,137,143,111,25,120,110,85,87,85,97,0,64,0,44,71,31,0,55,50,43,13,45,16,21,16,0,30,26,22,15,0,11,0,0,0,11,16,0,0,3,10,11,4,0,11,7,5,0,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,34,60,281,14,0,0,19,111,94
void_harsh,639,131,407,101,2077.01018507986,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9470,361,148,136,95,160,101,116,73,56,1,49,60,32,55,40,54,0,41,0,25,22,10,0,33,15,13,13,25,11,22,5,0,11,13,3,10,0,3,0,0,0,5,6,0,0,6,2,2,2,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,41,4,50,21,16,3,14,38,91
kharsh032,791,283,460,48,1526.373,687,335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,180486,386,209,159,127,98,100,85,98,63,12,72,93,46,79,49,86,0,63,0,40,19,31,0,33,22,11,7,44,7,24,11,0,21,19,1,11,0,3,0,0,0,4,3,0,0,4,3,4,10,0,3,4,5,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,32,6,52,0,0,0,4,15,78
suhani,178,66,104,8,0,0,170,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,71,40,26,33,24,14,7,20,13,3,10,23,12,29,14,23,0,14,0,3,0,6,0,3,15,1,1,26,0,0,5,0,10,13,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
jainmanisha3007,5,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
129ms,331,107,191,33,1446.842,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,323866,164,70,60,37,56,43,36,48,35,8,38,45,26,49,13,41,0,29,0,13,12,17,0,9,16,8,1,21,5,9,4,0,15,9,2,2,0,1,0,0,0,1,3,0,0,1,0,1,4,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,42,2,0,0,11,30,75
SuhaniShah,108,34,67,7,0,1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,53,23,21,7,9,14,5,13,16,2,12,14,9,15,5,14,0,5,0,4,2,4,0,6,7,1,0,13,0,0,3,0,7,7,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,53
071_Prashant,550,160,319,71,2339.978,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2699,324,114,123,94,101,82,91,48,48,9,43,35,44,40,35,28,0,28,0,47,28,18,0,22,19,17,21,26,4,4,9,0,10,9,5,7,0,1,0,0,0,1,5,0,0,1,4,3,2,0,3,3,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,92,38,117,27,0,0,0,1,85
prashant_nk,1206,290,670,246,2320.142,1152,23,1,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2964,660,281,236,183,227,179,152,138,117,32,107,113,98,104,82,97,0,74,0,54,50,53,0,54,51,35,25,48,26,26,23,0,31,26,14,17,0,16,0,0,0,14,15,0,0,11,7,10,5,0,5,9,7,0,4,0,0,0,7,0,3,0,0,0,2,0,0,0,0,0,0,18,5,37,1,0,0,0,13,85
iAmritSingh,207,53,138,16,1571.247,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134601,138,40,39,31,46,28,30,13,26,0,11,11,18,9,8,10,0,7,0,11,3,1,0,17,12,3,5,3,0,1,2,0,3,9,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,11,91,3,0,0,0,8,52
Prashantpx,484,132,283,69,1890.333,473,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,23665,277,92,98,71,106,77,49,63,58,3,60,47,37,38,35,38,0,18,0,15,34,22,0,17,15,22,6,23,5,5,6,0,18,12,4,7,0,3,0,0,0,3,6,0,0,1,4,6,3,0,3,2,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,16,68,175,1,0,0,0,50,84
prashant2611,270,148,116,6,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,118,36,47,38,14,28,7,58,24,7,37,57,14,35,19,53,0,25,0,12,8,7,0,5,7,8,1,31,1,6,1,0,13,15,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,49,0,0,0,16,29,53
prashanthr6789,762,271,438,53,1650.472,24,2,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,83975,398,195,166,106,82,98,61,96,55,4,84,89,64,73,48,82,0,47,0,51,26,40,0,26,24,18,6,50,6,14,10,0,22,18,0,13,0,4,0,0,0,4,6,0,0,2,3,3,7,0,1,3,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,17,119,3,0,0,3,13,68
